,ID,PAYMENT_TERM,INSTALLMENT_PLANS,INSTALLMENT_PERCENT,LOAN_PURPOSE,LOAN_AMOUNT,OTHERS_ON_LOAN,ALLOW,SEX,AGE,JOB_TYPE,DEPENDENTS,TELEPHONE,FOREIGN_WORKER,EMPLOYMENT_DURATION,PROPERTY,HOUSING,CURRENT_RESIDENCE_DURATION,CHECKING_BALANCE,CREDIT_HISTORY,EXISTING_SAVINGS,EXISTING_CREDITS_COUNT
0,291655,310.0,NONE,2.0,CAR_NEW,3503.0,NONE,1,F,24.0,3.0,1.0,1.0,1.0,0.0,SAVINGS_INSURANCE,OWN,2.0,-566.53,ALL_CREDITS_PAID_BACK,36.42,1.0
1,657079,630.0,STORES,3.0,CAR_NEW,3729.0,NONE,1,F,30.0,3.0,1.0,0.0,1.0,5.0,CAR_OTHER,RENT,1.0,-1673.16,CREDITS_PAID_TO_DATE,22.9,1.0
2,256050,868.0,NONE,3.0,CAR_USED,8516.0,NONE,0,M,40.0,3.0,1.0,0.0,1.0,4.0,UNKNOWN,OWN,4.0,NO_CHECKING,CREDITS_PAID_TO_DATE,450.35,2.0
3,1039151,403.0,BANK,3.0,FURNITURE,2577.0,NONE,1,M,28.0,1.0,1.0,0.0,1.0,0.0,CAR_OTHER,OWN,3.0,-1471.03,PRIOR_PAYMENTS_DELAYED,805.71,2.0
4,1002660,810.0,NONE,4.0,BUSINESS,3750.0,NONE,1,M,19.0,2.0,1.0,0.0,1.0,3.0,REAL_ESTATE,OWN,3.0,NO_CHECKING,CREDITS_PAID_TO_DATE,295.03,1.0
5,616161,1350.0,NONE,5.0,APPLIANCES,10540.0,CO-APPLICANT,0,F,36.0,2.0,2.0,1.0,1.0,2.0,CAR_OTHER,FREE,4.0,,PRIOR_PAYMENTS_DELAYED,639.41,2.0
6,1096578,806.0,NONE,3.0,RADIO_TV,5299.0,NONE,0,F,43.0,2.0,1.0,0.0,1.0,13.0,CAR_OTHER,OWN,4.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,421.96,1.0
7,544178,480.0,NONE,2.0,FURNITURE,250.0,NONE,1,M,26.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,RENT,3.0,-121.7,CREDITS_PAID_TO_DATE,22.44,1.0
8,356107,360.0,STORES,1.0,CAR_USED,250.0,NONE,1,F,20.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,OWN,1.0,-124.51,ALL_CREDITS_PAID_BACK,35.07,1.0
9,72646,300.0,STORES,2.0,CAR_USED,652.0,NONE,1,M,33.0,3.0,1.0,0.0,1.0,5.0,SAVINGS_INSURANCE,OWN,1.0,-1911.77,CREDITS_PAID_TO_DATE,56.22,1.0
10,1136574,806.0,NONE,4.0,CAR_USED,4274.0,NONE,0,M,43.0,2.0,1.0,0.0,1.0,2.0,SAVINGS_INSURANCE,OWN,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,383.57,1.0
11,847985,124.0,NONE,2.0,CAR_NEW,365.0,NONE,1,F,19.0,3.0,1.0,0.0,1.0,2.0,REAL_ESTATE,RENT,2.0,-2303.55,CREDITS_PAID_TO_DATE,5.59,1.0
12,1268579,660.0,STORES,4.0,EDUCATION,5876.0,NONE,1,M,30.0,1.0,1.0,1.0,1.0,3.0,CAR_OTHER,OWN,5.0,NO_CHECKING,OUTSTANDING_CREDIT,572.37,2.0
13,543397,217.0,NONE,2.0,VACATION,250.0,NONE,1,M,19.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,OWN,1.0,63.66,ALL_CREDITS_PAID_BACK,88.92,1.0
14,416220,868.0,BANK,3.0,FURNITURE,4524.0,NONE,1,M,49.0,1.0,2.0,1.0,1.0,7.0,SAVINGS_INSURANCE,RENT,2.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,315.54,2.0
15,54220,930.0,NONE,3.0,APPLIANCES,3453.0,CO-APPLICANT,0,F,27.0,3.0,1.0,1.0,1.0,0.0,SAVINGS_INSURANCE,OWN,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,977.71,1.0
16,123368,310.0,NONE,1.0,CAR_NEW,250.0,NONE,1,F,32.0,3.0,1.0,0.0,1.0,0.0,REAL_ESTATE,OWN,3.0,155.93,NO_CREDITS,63.52,1.0
17,1163903,120.0,NONE,1.0,CAR_USED,416.0,NONE,1,F,19.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,RENT,1.0,51.66,ALL_CREDITS_PAID_BACK,62.1,1.0
18,265870,558.0,NONE,3.0,VACATION,1800.0,NONE,1,F,25.0,3.0,2.0,0.0,1.0,0.0,REAL_ESTATE,RENT,1.0,147.84,ALL_CREDITS_PAID_BACK,676.64,1.0
19,904209,589.0,STORES,3.0,REPAIRS,705.0,NONE,1,M,45.0,3.0,1.0,0.0,1.0,6.0,CAR_OTHER,RENT,2.0,-319.01,CREDITS_PAID_TO_DATE,3.11,1.0
